id,title,content,source_url,major_category,middle_category,supplier_name,amount,currency,province,city,contact_name,email,phone_number,event_time,min_order,unit,supplier_address,created_at,updated_at
1,强森 冷挤压钢筋套筒 45号钢内外直螺纹建筑钢筋连接套筒 钢筋接头,产品特性：45#钢; 表面处理 抛光; 公称直径 37; 长度 62mm; 适用范围 建筑配件。,https://b2b.baidu.com/land?id=d0933c02cd2359412983d19f157b910110,手动工具,套筒,邯郸市强森紧固件制造有限公司,0.62,人民币:元,河北省,邯郸市,武云飞,1203110876@qq.com,13131027275,2025-07-22,1.0,件起,河北省邯郸市永年区飞宇螺丝大世界8排B19,2026-07-28 15:09:27,2026-08-04 11:02:28
2,厂家供应智能水表厂家 数字指针组合家用出租房自来水仪表纯铜,产品特性：支持加工定制 是; 是否进口 否; 安装方向 横向安装; 抄表系统 远程抄表系统; 读数 表盘读数。,https://b2b.baidu.com/land?id=4d9bc7612b7927d733b01ce454832ce010,工具套装,家用组合,江苏森维电子有限公司,700.00,人民币:元,江苏省,无锡市,戴琳霞,2851636335@qq.com,17766397692,2025-07-22,1.0,台,江苏省无锡市宜兴市江苏森维电子有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
3,加长电动扳手套筒套装组合全套锂电架工六角板手大飞气动汽修机修,产品特性：电动套筒套装; 材质 高碳钢; 类别 六角套筒; 规格 见描述; 是否定制 是。,https://b2b.baidu.com/land?id=1b321f6a6867fe11523e3c828e50372310,工具套装,机修组合,沭阳县京攻百货中心,54.00,人民币:元,江苏省,宿迁市,洪经理,2468008321@qq.com,17715084273,2025-07-22,1.0,个,江苏省宿迁市,2026-07-28 15:09:27,2026-08-04 11:02:28
4,德国进口手用直槽丝锥板牙绞手套装29件套BSW1/4-1/2,产品特性：德国沃克VOELKEL; 规格 BSW1/4-1/2; 是否定制 否; 是否进口 是; 产地 德国。,https://b2b.baidu.com/land?id=645c22cbae99d27f69fde51f1cee9d5610,工具套装,丝锥板牙套装,山东德玛特机械科技有限公司,3713.00,人民币:元,山东省,济南市,刘志红,DMT366@163.com,15898917089,2025-07-22,1.0,套,山东省济南市槐荫区演马佳苑7-1-1101,2026-07-28 15:09:27,2026-08-04 11:02:28
5,上匠套筒组套棘轮扳手汽修工具组合套装快速扳手多功能汽保五金,产品特性：套筒组套; 材质 见描述; 类别 随车类工具套装; 规格 见描述; 是否定制 是。,https://b2b.baidu.com/land?id=a9904147f054ff976b899eac236ba09a10,工具套装,随车组合工具,沭阳县八拜交亦电子商务有限公司,72.00,人民币:元,江苏省,宿迁市,张经理,dyds26@126.com,18052792118,2025-07-22,1.0,件,江苏省宿迁市,2026-07-28 15:09:27,2026-08-04 11:02:28
6,宝合(BOOHER) 11件全抛光双梅花扳手组套 2200301,产品特性：宝合(BOOHER); 是否定制 否; 是否进口 否; 产地 上海; 订货号 2200301,https://b2b.baidu.com/land?id=87540aecfd97f68ba7d6956151a8a9d110,工具套装,扳手套装,宝合云豹智能科技(上海)有限公司,820.00,人民币:元,,,赵宇芹,lynn@boohergroup.com,17721126787,2025-07-22,1.0,套,上海上海,2026-07-28 15:09:27,2026-08-04 11:02:28
7,麦太保Metabo电动螺丝刀批头套装 62支 647013000,产品特性：进口 否; 数量 62支; 材质 合金钢; 类别 电动螺丝刀批头套装; 适用范围 紧固。,https://b2b.baidu.com/land?id=b2392179d69ca27d2d8b14194e3c893f10,工具套装,螺丝批套装,霸州市冀北电气设备厂,200.00,人民币:元,河北省,廊坊市,卢经理,2786039960@163.com,13363654420,2025-07-22,1.0,套,河北省廊坊市霸州市小何庄,2026-07-28 15:09:27,2026-08-04 11:02:28
8,双色电工组合工具套装42件VDE电工专用维修绝缘工具组套0200409,产品特性：YY; 套件数量 42件; 是否进口 否; 长度 465cm; 宽度 380cm。,https://b2b.baidu.com/land?id=121444ef1c8b5eb252ca6ddee4917efe10,工具套装,维修组合,上海弈远实业有限公司,5800.00,人民币:元,上海市,上海市,王经理,yglove2970@sina.com,13801817012,2025-07-22,1.0,套,上海市宝山区未来已来·智造社2号楼,2026-07-28 15:09:27,2026-08-04 11:02:28
9,CSJ系列粗碎机 化工粉碎机 食品碎料 果蔬干过生姜袋泡茶粗碎设备,产品特性：支持加工定制 是; 是否进口 否; 包装规格 简易; 保修期 质保一年; 材料 不锈钢。,https://b2b.baidu.com/land?id=79e4952094381cef0a04b54748e9ce7810,食品餐饮设备,粉碎机,江阴市创新机械设备有限公司,100.00,人民币:元,包家新村63号江阴市,包家新村63号江阴市,蔡建新,822387335@qq.com,15961635128,2025-07-22,1.0,台,包家新村63号江阴市创新机械设备有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
10,黑色碳化硅 旭泰耐材 冶金研磨 振研抛光 抛光振研 源头厂家,产品特性：河南; 功能用途 耐高温材料等; 材质 SIC; 型号 XT811165; 类别 碳化硅。,https://b2b.baidu.com/land?id=e0fdcde9323c4e4c61b97962a7b8c90910,食品餐饮设备,研磨机,郑州旭泰耐火材料有限公司,3900.00,人民币:元,河南省,郑州市,韩经理,810905246@qq.com,13383837207,2025-07-22,1.0,吨,河南省郑州市巩义市白河村,2026-07-28 15:09:27,2026-08-04 11:02:28
11,腰果电磁炒货机 咖啡豆决明子烘焙机 全自动炒瓜子机 大豆花生电炒锅,产品特性：特性 低耗能; 加工定制 是; 种类 炒货机; 型号 HX CH-50; 售后服务 质保一年。,https://b2b.baidu.com/land?id=2f2aa4469e99ea0c6dd73a87c8d4404410,食品餐饮设备,烘焙全自动炒锅,曲阜鸿旭机械有限公司,2000.00,人民币:元,山东省,济宁市,冯晓丽,15315193706@163.com,15554788805,2025-07-22,1.0,台,山东省济宁市曲阜市曲阜鸿旭机械有限公司书院街道转盘路向西500米,2026-07-28 15:09:27,2026-08-04 11:02:28
12,超低温速冻机 包子速冻柜 海鲜单冻机 速冻不结霜,产品特性：智晟; 标准制冷量 R507W; 功率 13.8kwW; 规格 可定制mm; 日耗电量 13kgKW·h。,https://b2b.baidu.com/land?id=fb7852cf777f5f491015364eac63e85610,食品餐饮设备,包子机,诸城市智晟机械科技有限公司,15000.00,人民币:元,山东省,潍坊市,王琳,995281264@qq.com,13335266675,2025-07-22,1.0,台,山东省潍坊市诸城市诸城高新技术产业园新兴路2899-6号,2026-07-28 15:09:27,2026-08-04 11:03:05
13,月饼馅料炒制设备 中小型自动炒菜机 中央厨房配餐中心行星搅拌炒锅,产品特性：支持加工定制 是; 包装规格 覆膜; 产品名称 行星炒锅; 用途范围 炒料、炒酱、炒馅、炒菜等; 电压 380V。,https://b2b.baidu.com/land?id=f4908d4064d9551a9421c7475407dd5a10,食品餐饮设备,月饼机,诸城市领竣机械设备有限责任公司,2.00,人民币:元,山东省,潍坊市,魏经理,1448163270@qq.com,17263246203,2025-07-22,1.0,台,山东省潍坊市诸城市兴华西路北街,2026-07-28 15:09:27,2026-08-04 11:02:28
14,三堡红石材 三宝红花岗岩 光面条板 源产地厂家 石采石业,产品特性：2.8g/cm3; 抗弯强度 105(Mpa); 抗压强度 103(Mpa)MPa; 名称 三堡红; 产地 广西岑溪。,https://b2b.baidu.com/land?id=11a1764348c4d3ddba3c2ac75a26e71210,食品餐饮设备,面条机,广西石采石业有限公司,28.00,人民币:元,广西壮族自治区梧州市,广西壮族自治区梧州市,黄贻荣,1004229724@qq.com,15777473320,2025-07-22,10.0,平方米,广西壮族自治区梧州市岑溪市探花村石采石业,2026-07-28 15:09:27,2026-08-04 11:02:28
15,滚筒农用谷物粮食烘干机 大豆芝麻花生瓜子炒锅 小型水稻豆渣炒货机,产品特性：支持加工定制 是; 是否进口 否; 安装方式 平地摆放; 材质 碳钢; 操作方式 全自动。,https://b2b.baidu.com/land?id=b52f2a6ea4d61cb69a508ed73d2b096710,食品餐饮设备,炒货机,河南鑫沃达重工机械有限公司,8300.00,人民币:元,河南省,郑州市,李总,1057496384@qq.com,13733895006,2025-07-22,1.0,台,河南省郑州市巩义市龙尾工业区-停车场,2026-07-28 15:09:27,2026-08-04 11:02:28
16,商用肉类真空拌馅机 饺子馅料自动搅拌机 火腿丸子馅料拌馅机器,产品特性：4kwkW; 净重 300kg; 重量 310kg; 规格 1000; 包装 缠绕膜。,https://b2b.baidu.com/land?id=0b3902c330c952dbb15920bd5079015110,食品餐饮设备,饺子机,山东荣汇机械科技有限公司,1.80,人民币:元,山东省,潍坊市,李炳琦,494051555@qq.com,18706509666,2025-07-22,1.0,台,山东省潍坊市诸城市密州东路与纵一路交叉口,2026-07-28 15:09:27,2026-08-04 11:02:28
17,商用变频多功能切菜机 蔬菜水果切块切丁切丝切片机 志强,产品特性：1.5kw; 净重 60kg; 规格 ZX-99; 包装 简易包装; 种类 切菜机,https://b2b.baidu.com/land?id=6b9f7d402ecc6f238929547fc268a0dd10,食品餐饮设备,切菜机,诸城市志强机械有限公司,3500.00,人民币:元,,,张经理,wangzhipenglovol@163.com,15553650961,2025-07-22,1.0,台,观海路1387号志强食品机械有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
18,成量 锥柄麻花钻 5mm-76mm 莫氏圆锥钻头 锥钻 刃具 高速钢HSS,产品特性：锥柄麻花钻; 材质 高速钢; 类别 刀具/刃具; 是否定制 否; 是否进口 否。,https://b2b.baidu.com/land?id=030eaa0b305c336a8dadab7d4ff2208910,刀具/量具,钻头,成都量工量量具有限公司,30.00,人民币:元,四川省,成都市,方亮,cdchenglianggongju@126.com,13882237145,2025-07-22,1.0,支,四川省成都市金牛区金府国际1栋515,2026-07-28 15:09:27,2026-08-04 11:02:28
19,台湾梅华高频脉冲电火花打孔穿孔断丝锥取出器钻头螺栓丝锥取断机,产品特性：直径 见描述mm; 长度 见描述mm; 牙距 见描述; 适用范围 见描述; 产地 见描述,https://b2b.baidu.com/land?id=edbba12a98b4e6e5b0587ab67cf157da10,刀具/量具,丝锥,阜阳优仓供应链有限公司,1950.00,人民币:元,,,李经理,327739346@qq.com,19305685127,2025-07-22,1.0,件,颍上县迎宾大道,2026-07-28 15:09:27,2026-08-04 11:02:28
20,JY900 数字数显测振仪 数字式手持式便携式振动仪,产品特性：嘉佑; 重量 230g（含电池）; 电源 6F22电池（9V）; 加工定制 否; 加速度 0.1～199.9m/ s2 (p)。,https://b2b.baidu.com/land?id=5c30435c4269dd5ae35152334daa3b4d10,刀具/量具,数显,安徽嘉佑自动化仪表有限公司,1100.00,人民币:元,安徽省,六安市,章经理,787517061@qq.com,18056463433,2025-07-22,1.0,台,安徽省六安市金安区百盛东金城安徽嘉佑,2026-07-28 15:09:27,2026-08-04 11:02:28
21,日本中村 数显卡尺 KANON 电子长爪 外径游标尺 长脚游标卡尺 E-LSM15BL,产品特性：金属; 类别 数显卡尺; 规格 可选; 是否定制 否; 是否进口 是。,https://b2b.baidu.com/land?id=fc082fc2e90049b58aab0541b9cf773d10,刀具/量具,卡尺,佛山百舜精密机械有限公司,2028.00,人民币:元,广东省,佛山市,李江,lijiang@bsjm97.cn,18927503295,2025-07-22,1.0,把,广东省佛山市顺德区广源商厦三层332号,2026-07-28 15:09:27,2026-08-04 11:02:28
22,地脚螺栓套扣机 圆钢攻丝机 圆盘套丝机 板牙转加工件不转,产品特性：鑫旺; 是否定制 否; 是否进口 否; 产地 山东济宁; 电源电压 380V。,https://b2b.baidu.com/land?id=f85c049ee6e2c5ea7665049d5565ced310,刀具/量具,板牙,济宁鑫旺机械设备有限公司,3300.00,人民币:元,山东省,济宁市,杜肖,14452693002@qq.com,15563742562,2025-07-22,1.0,台,山东省济宁市任城区车站东路35号塑料工业公司院内,2026-07-28 15:09:27,2026-08-04 11:02:28
23,辣椒素检测仪 手持辣度计 YP-SHU 辣度检测仪 优云谱 辣度测量仪器,产品特性：辣椒素检测仪; 用途 检测各种辣椒及辣椒制品中的天然辣椒素的等级; 品种 辣度检测仪; 分辨率 5 SHU; 适用范围 干辣椒、鲜辣椒、辣椒粉等天然辣椒及其制品。,https://b2b.baidu.com/land?id=20023d70bcf2d0030b1803c9ebc36a1a10,刀具/量具,量具,山东优云谱光电科技有限公司,100.00,人民币:元,山东省,潍坊市,刘经理,858406657@qq.com,18053601282,2025-07-22,1.0,台,山东省潍坊市寒亭区山东优云谱光电科技有限公司,2026-07-28 15:09:27,2026-08-04 11:02:28
24,MEASURING TAPE 5M - 1200298 菲尼克斯 测量仪器卷尺 手动工具,产品特性：PHOENIX CONTACT/菲尼克斯; 是否进口 是; 产地 德国; 订货号 1200298; 商品目录 钳/螺丝刀/扳手,https://b2b.baidu.com/land?id=92574db0d89ab721488e10d497eea10110,刀具/量具,卷尺,上海云汉天启电子科技有限公司,50.00,人民币:元,,,24小时询价热线,support@unikeyic.com,15021906035,2025-07-22,1.0,个,上海上海,2026-07-28 15:09:27,2026-08-04 11:02:28
